2022-02-02 15:58:52,326 - DEBUG    - transport - Сформирован словарь сообщения: {'action': 'message', 'from': '1', 'to': '2', 'time': 1643806732.3261156, 'message_text': '20'}
2022-02-02 15:58:52,752 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1032, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59437), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': '1', 'to': '2', 'time': 1643806732.3261156, 'message_text': '20'}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 15:58:52,882 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59438), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции self._bootstrap_inner() 
2022-02-02 15:58:52,882 - DEBUG    - transport - Принято сообщение с сервера: {'action': 'message', 'from': '1', 'to': '2', 'time': 1643806732.3261156, 'message_text': '20'}
2022-02-02 15:58:52,882 - DEBUG    - transport - Разбор сообщения от сервера {'action': 'message', 'from': '1', 'to': '2', 'time': 1643806732.3261156, 'message_text': '20'}
2022-02-02 15:58:52,882 - DEBUG    - transport - Получено сообщение от пользователя 1:20
2022-02-02 16:05:08,723 - CRITICAL - transport - Потеряно соединение с сервером.
2022-02-02 16:05:09,286 - CRITICAL - transport - Потеряно соединение с сервером.
2022-02-02 16:06:47,930 - DEBUG    - decos - Вызов функции cmd_arg_parse из модуля __main__. Эта функция вызвана с параметрами (), {}. Функция cmd_arg_parse вызывается из функции main() 
2022-02-02 16:07:04,510 - INFO     - client - Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, имя пользователя: 1
2022-02-02 16:07:04,684 - INFO     - transport - Попытка подключения №1
2022-02-02 16:07:04,685 - INFO     - transport - Соединение с сервером установлено
2022-02-02 16:07:04,685 - DEBUG    - transport - Создано сообщение presence пользователя 1
2022-02-02 16:07:04,687 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59499), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1643807224.685952, 'user': {'name_account': '1'}}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 16:07:04,786 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59499), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции main() 
2022-02-02 16:07:04,786 - DEBUG    - transport - Разбор сообщения от сервера {'response': 200}
2022-02-02 16:07:04,786 - INFO     - transport - Соединение с сервером успешно установлено.
2022-02-02 16:07:04,786 - DEBUG    - transport - Запрос списка всех известных пользователей 1
2022-02-02 16:07:04,788 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59499), raddr=('127.0.0.1', 7777)>, {'action': 'get_users', 'time': 1643807224.7879794, 'name_account': '1'}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 16:07:05,313 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59499), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции main() 
2022-02-02 16:07:05,506 - DEBUG    - transport - Запрос контакт листа для пользователя Thread-1
2022-02-02 16:07:05,507 - DEBUG    - transport - Сформирован запрос {'action': 'get_contacts', 'time': 1643807225.5071626, 'user': '1'}
2022-02-02 16:07:05,508 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59499), raddr=('127.0.0.1', 7777)>, {'action': 'get_contacts', 'time': 1643807225.5071626, 'user': '1'}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 16:07:05,840 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59499), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции main() 
2022-02-02 16:07:05,841 - DEBUG    - transport - Получен ответ {'response': 202, 'data_list': ['2']}
2022-02-02 16:07:05,941 - DEBUG    - transport - Запущен процесс - приёмник собщений с сервера.
2022-02-02 16:07:21,959 - DEBUG    - decos - Вызов функции cmd_arg_parse из модуля __main__. Эта функция вызвана с параметрами (), {}. Функция cmd_arg_parse вызывается из функции main() 
2022-02-02 16:07:25,876 - INFO     - client - Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, имя пользователя: 2
2022-02-02 16:07:26,063 - INFO     - transport - Попытка подключения №1
2022-02-02 16:07:26,064 - INFO     - transport - Соединение с сервером установлено
2022-02-02 16:07:26,065 - DEBUG    - transport - Создано сообщение presence пользователя 2
2022-02-02 16:07:26,066 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1068, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59500), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1643807246.065345, 'user': {'name_account': '2'}}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 16:07:26,675 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1068, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59500), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции main() 
2022-02-02 16:07:26,675 - DEBUG    - transport - Разбор сообщения от сервера {'response': 200}
