2022-01-11 10:50:04,025 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 10:50:04,026 - DEBUG    - decos - Вызов функции cmd_arg_parse из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x0000022AC1B06220>,), {}. Функция cmd_arg_parse вызывается из функции server.server_connect() 
2022-01-11 10:50:04,026 - DEBUG    - server - Сервер в ожидании клиента
2022-01-11 10:50:04,040 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 53710)
2022-01-11 10:50:04,043 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 53711)
2022-01-11 10:50:04,044 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53710)>,), {}. Функция recieve_msg вызывается из функции server.server_connect() 
2022-01-11 10:50:04,044 - DEBUG    - server - Разбор сообщения от клиента {'action': 'presence', 'time': 1641887404.0408995, 'user': {'name_account': 'client3'}}.
2022-01-11 10:50:04,044 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53710)>, {'response': 200}), {}. Функция send_msg вызывается из функции server.server_connect() 
2022-01-11 10:50:04,044 - DEBUG    - decos - Вызов функции check_msg из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x0000022AC1B06220>, {'action': 'presence', 'time': 1641887404.0408995, 'user': {'name_account': 'client3'}}, [], <socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53710)>, [<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53710)>, <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53711)>], {'client3': <socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53710)>}), {}. Функция check_msg вызывается из функции server.server_connect() 
2022-01-11 10:50:04,044 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53711)>,), {}. Функция recieve_msg вызывается из функции server.server_connect() 
2022-01-11 10:50:04,044 - DEBUG    - server - Разбор сообщения от клиента {'action': 'presence', 'time': 1641887404.043891, 'user': {'name_account': 'client2'}}.
2022-01-11 10:50:04,045 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53711)>, {'response': 200}), {}. Функция send_msg вызывается из функции server.server_connect() 
